#,type1,name,pages,writer name,writer overview,book overview,link to download
1,Novel,Lord of the Flies,224,William Golding,"Sir William Gerald Golding, CBE (19 September 1911 – 19 June 1993) was a British novelist, playwright, and poet. Best known for his debut novel Lord of the Flies (1954), he would go on to write over a dozen novels in his lifetime. In 1980, he was awarded the Booker Prize for Rites of Passage, the first novel in what became his sea trilogy, To the Ends of the Earth. He was awarded the Nobel Prize in Literature in 1983.As a result of his contributions to literature, Golding was knighted in 1988. He was a fellow of the Royal Society of Literature.In 2008, The Times ranked Golding third on their list of ""The 50 greatest British writers since","Lord of the Flies is a modern classic, and a popular one to read at school.  It was once the set text for the Cambridge Advanced Exam, which makes it an even better book to help improve your English!  Whether you’ve read it in your own language or not, it’s a good one to try in English.Lord of the Flies begins with a plane crash which leaves a group of boys marooned on an island.  Alone on the island, they elect a leader and create their own society.  Things go horribly wrong and a war for leadership begins.  The boys turn savage and form two rival tribes, resulting in panic, fear and death.","https://1.cdn.edl.io/fDFUNZR73QsRbLiPsUk4JXIjyTjZpLd3Jmk2DlVxkm1iAOEF.pdf	"
2,Novel,To Kill a Mockingbird,281,Harper Lee,"Nelle Harper Lee (April 28, 1926 – February 19, 2016) was an American novelist widely known for To Kill a Mockingbird, published in 1960. Immediately successful, it won the 1961 Pulitzer Prize and has become a classic of modern American literature. Though Lee had only published this single book, in 2007 she was awarded the Presidential Medal of Freedom for her contribution to literature. Additionally, Lee received numerous honorary degrees, though she declined to speak on those occasions. She was also known for assisting her close friend Truman Capote in his research for the book In Cold Blood (1966). Capote was the basis for the character Dill in To Kill a Mockingbird.","To Kill a Mockingbird is a classic American novel that many students in the UK and the US will study in secondary school.The book is set in in the United States and follows the story of a crime in a small, rural town and its repercussions. Its told from the point of view of a child, so the language is never overly complex, making it a great novel for English language beginners.","http://www.kkoworld.com/kitablar/harper_li_masqarachini_oldurmek-eng.pdf	"
3,Novel,The Old Man and the Sea,127,Ernest Hemingway,"(July 21, 1899 – July 2, 1961) was an American journalist, novelist, short-story writer, and sportsman. His economical and understated style—which he termed the iceberg theory—had a strong influence on 20th-century fiction, while his adventurous lifestyle and his public image brought him admiration from later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and he won the Nobel Prize in Literature in 1954. He published seven novels, six short-story collections, and two nonfiction works. Three of his novels, four short-story collections, and three nonfiction works were published posthumously. Many of his works are considered classics of American literature.Hemingway was raised in Oak Park, Illinois. After high school, he was a reporter for a few months for The Kansas City Star before leaving for the Italian Front to enlist as an ambulance driver in World War I. In 1918, he was seriously wounded and returned home. His wartime experiences formed the basis for his novel A Farewell to Arms (1929).","The Old Man and the Sea is a short novel about an epic battle between an old Cuban fisherman and a giant fish. Hemingway uses the simple story as a fable which explores the themes of challenge, courage, survival, defeat and personal triumph.Hemingway is famous for his clean, minimalist style of writing, which is perfect for language learners.  Using short sentences and getting straight to the point, every level of an English learner will find the language accessible.","http://www.arvindguptatoys.com/arvindgupta/oldmansea.pdf	"
4,Spy,Stalin’s Englishman, 449,Andrew Lownie,"Andrew Lownie first became interested in the Cambridge Spy Ring when, as President of the Cambridge Union Society in 1984, he arranged an international seminar on the subject. After graduating from Cambridge University, where he won the Dunster Prize for History, Lownie went on to take a postgraduate degree in history at Edinburgh University. He is now a successful literary agent, and has written or edited seven books, including a biography of John Buchan.","Award-winning literary agent and author Lownie tells the history of Guy Burgess – one of the Cambridge Spies, recruited in the 1930s to double-cross their country for the Soviet Union. Lownie shows us skilfully how successful and ruthless Burgess was in his betrayal.",https://www.amazon.com/Stalins-Englishman-Lives-Guy-Burgess-ebook/dp/B013V4BJB0
5,Spy,Intercept: The Secret History of Computers and Spies,Not Availabe,Gordon Corera,"Gordon Corera is a journalist and writer on intelligence and security issues. Since 2004 he has been a security correspondent for the BBC, where he covers terrorism, cyber security, the work of intelligence agencies and other national security issues. He has reported from across the United States, Asia, Africa and the Middle East and presented a number of programmes focusing on intelligence agencies including MI6, MI5, GCHQ, the CIA, the NSA and Mossad. He is the author of Secret Pigeon Service: Operation Columba, Resistance and the Struggle to Liberate Europe, Intercept: The Secret History of Computers and Spies (entitled Cyberspies in the US), MI6: Life and Death in the British Secret Service (also entitled The Art of Betrayal), and Shopping for Bombs. He was educated at Oxford and Harvard universities, and lives in London.","This non-fiction book about the intertwined history of computers and spies is written by the BBC’s security correspondent. With stories from hackers to heads of states, Corera presents a thorough history of electronic espionage. ",https://www.amazon.com/Intercept-Secret-History-Computers-Spies/dp/0297871730/ref=sr_1_fkmr0_1?keywords=Intercept%3A+The+Secret+History+of+Computers+and+Spies+by+Gordon+Corera&qid=1573805128&s=digital-text&sr=8-1-fkmr0
6,Spy,The Night Manager, 443,John Le Carré,"(born 19 October 1931), better known by the pen name John le Carré (/l??kære?/),[2] is a British author of espionage novels. During the 1950s and 1960s, he worked for both the Security Service (MI5) and the Secret Intelligence Service (MI6). His third novel, The Spy Who Came in from the Cold (1963), became an international best-seller and remains one of his best-known works. Following the success of this novel, he left MI6 to become a full-time author. Several of his books have been adapted for film and television, including The Constant Gardener, Tinker Tailor Soldier Spy and The Night Manager. In 2011, he was awarded the Goethe Medal.","Published in 1993, and now subject of a BBC adaptation, this is one of Le Carré’s most intricate works, in which the manager of a Cairo hotel becomes embroiled in a plot to foil an international arms dealer.",https://openlibrary.org/works/OL181821W/The_Night_Manager
7,Vegetarian.cookbook,Vegan: The Cookbook, 584,Jean-hristian Jury,"Jean-Christian Jury is a vegan and raw-food chef from Toulouse, France. In 2008 he opened La Mano Verde in Berlin, Germany, his first vegan restaurant, and received praise from Saveur and Rodale's Organic Life, and many international publications. He now lives in Los Angeles, California, where he is developing La Mano Verde.","This extensive tome from long-time vegan and restaurant owner Jean-Christian Jury could otherwise be known as the Bible of vegan cooking. We love how comprehensive this book is, boasting more than 450 recipes from more than 150 countries. From crispy orange-ginger tofu and strawberry mochi to grilled portobello mushroom tostadas, this book really has everything you need to suit every mood, taste and occasion. The book is divided into starters, salads, soups, main courses, grains and beans, pasta and noodles and desserts, with each section featuring recipes categorised by country. You’ll see cuisines from Moldova, Papua New Guinea and Suriname sitting alongside the more familiar flavours of France and China. There is also a guest chef section, which features recipes from internationally renowned chefs such as Dan Barber and Alexis Gauthier.  ",http://cooingbooks.maweb.eu/1/2598/Top10000/Vegan-The-Cookbook.pdf
8,Vegetarian.cookbook, Love Real Food: More than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body ,272,Kathryne Taylor,"Kathryne Taylor is the personality behind the hugely popular blog Cookie + Kate, named after her crumb-catching dog Cookie. In six years, the vegetarian and all-natural food blog has grown from a hobby to a full-time project, and now garners over two million visits per month. Kathryne researches, develops, cooks, photographs, and writes every recipe on the blog. Originally from Oklahoma, she now lives in Kansas City.","?Kathryne Taylor's first book stays true to the motto of her massively popular blog, Cookie and Kate: ""celebrating whole foods"". This wonderful collection of delicious, nutritious and satisfying vegetarian recipes is divided into breakfasts, salads, soups, cocktails, feasts and sweet treats. Written in a friendly and reassuring style, the recipes are simple enough for the home cook to easily follow. Kate will help you be more energetic by starting your day with a bowl of quinoa piña colada granola, washed down with a creamy cashew chai latte and followed by a Thai-style mango slaw or West African peanut soup for lunch. And if you're hosting guests for dinner, this book will show how to make a roasted eggplant lasagna (or even throw a taco party). Those with a sweet tooth are bound to love her healthier peanut butter chocolate chip cookies and German chocolate cake.",https://www.academia.edu/39625504/Love_Real_Food_More_Than_100_Feel_Good_Vegetarian_Favorites_To_Delight_The_Senses_And_Nourish_The_B
9,Vegetarian.cookbook,Bowls of Goodness: Vibrant Vegetarian Recipes full of Nourishment, 192 ,Nina Olsson,"Nina Olsson founded NourishAtelier.com to share her passion for vegetarian cooking. For more than ten years she has worked creatively with food as an award-winning art director, stylist, and designer. Her recipes have recently appeared in publications such as Elle, Delicious, and Women's Health. A native of Stockholm, Olsson today lives along the coast of the North Sea in the Netherlands, with her love Natal and their two children.","As the title suggests, this book from Nina Olsson, of the blog Nourish Atelier, focuses on plant-based meals that can be served in bowls. Recipes are divided into breakfasts, soups, salads, grain bowls, noodles, hearty meals, sides and desserts. The book features everything from porridge and curries to fish-free Bouillebaisse, and you’ll also find a vibrant array of healthy salads such as Moroccan harissa salad and Indonesian gado gado. And carb lovers fear not, as there's also comforting slutty pasta and spicy laksa noodles. Each recipe has an introductory paragraph with tips for getting the best results, an explanation of the health benefits of the ingredients used, or a description of a dish’s origin.",https://issuu.com/linkindate/docs/download-pdf-online-bowls-of-goodne
10,Short.story,‘Salt Slow’, 208, Julia Armfield,"Julia Armfield is a fiction writer and occasional playwright with a Masters in Victorian Art and Literature from Royal Holloway University. Her work has been published in The White Review, Lighthouse, Analog Magazine, Neon Magazine and The Stockholm Review. She was commended in the Moth Short Story Prize 2017 and won the White Review Short Story Prize with two of the stories in this collection. She lives in London, where she is at work on her debut novel.","You might have already heard great things about this collection – and we’re here to tell you that they are all true. Yet this is a set of unnerving, creepy and otherworldly stories where you second guess what to take literally. Armfield has the ability to make the surreal feel typical – her storytelling is so assured that you accept her backdrops and characters – from a Catholic schoolgirl who morphs into a huge predatory insect and devours a boy to the personification of sleep – without question.Just when you think you’ve got the measure of her talents, Armfield reveals another string to her bow, she is also incredibly funny. We laughed out loud at this from “The Collectables”: “Someone had once told Miriam that she looked like Princess Anne and this throwaway comment had come, over time, to form the basis of her whole personality. She wore green velvet loafers year round, pinned her hair in the shape of a pumpkin, spoke like her molars were made of glass.” This is such a confident and brilliant work. Armfield has the rare gift of looking like she doesn’t need to try.",https://www.panmacmillan.com/authors/julia-armfield/salt-slow/9781529012569
